,estado,producto,conteo
1297,AGUASCALIENTES,LECHE ULTRAPASTEURIZADA,9824
1310,CAMPECHE,LAVADORAS,9729
1313,DURANGO,DETERGENTE P/ROPA,9696
1325,AGUASCALIENTES,SHAMPOO,9654
1326,DURANGO,LAVADORAS,9644
1328,MORELOS,REFRESCO,9632
1351,VERACRUZ DE IGNACIO DE LA LLAVE,FUD,9482
1352,AGUASCALIENTES,REFRESCO,9481
1402,VERACRUZ DE IGNACIO DE LA LLAVE,LAVADORAS,9231
1446,GUERRERO,REFRESCO,8932
1456,DURANGO,FUD,8866
1463,GUERRERO,FUD,8846
1467,CHIAPAS,DETERGENTE P/ROPA,8831
1489,SAN LUIS POTOSÍ,PANTALLAS,8662
1509,DURANGO,REFRESCO,8579
1547,CHIAPAS,PANTALLAS,8395
1559,DURANGO,PANTALLAS,8329
1561,CAMPECHE,DETERGENTE P/ROPA,8307
1633,NAYARIT,REFRESCO,8003
1655,SAN LUIS POTOSÍ,LAVADORAS,7934
1672,CHIAPAS,JABON DE TOCADOR,7841
1786,SAN LUIS POTOSÍ,DETERGENTE P/ROPA,7380
1816,SAN LUIS POTOSÍ,PLANCHAS,7260
1864,NAYARIT,PANTALLAS,7083
1926,MORELOS,FUD,6909
2025,NAYARIT,FUD,6644
2062,NAYARIT,LAVADORAS,6549
2088,GUERRERO,DETERGENTE P/ROPA,6455
2153,GUERRERO,SHAMPOO,6283
2335,GUERRERO,LECHE ULTRAPASTEURIZADA,5837
2337,MORELOS,DETERGENTE P/ROPA,5829
2491,NAYARIT,DETERGENTE P/ROPA,5514
2520,MORELOS,LAVADORAS,5485
2770,MORELOS,PANTALLAS,4989
11618,,LECHE ULTRAPASTEURIZADA,804
14371,,REFRESCO,553
17757,,FUD,341
19456, COL. EDUARDO GUERRA,REFRESCO,275
19584, COL. EDUARDO GUERRA,JABON DE TOCADOR,270
19770, COL. EDUARDO GUERRA,FUD,263
19979,,HUEVO,256
20073,,LECHE EN POLVO,252
21344, COL. EDUARDO GUERRA,LECHE EN POLVO,219
21350, COL. EDUARDO GUERRA,CHILES EN LATA,218
24276," ESQ. SUR 125""",PAN BLANCO BOLILLO,130
29417,estado,producto,20
31276," ESQ. SUR 125""",TORTILLA DE MAIZ,2
